user,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,item_id,response,set
651,3.0,2.0,3.0,2.0,2.0,2.0,5.0,0.0,2.0,0.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,6.0,2.0,4.0,2.0,1.0,item_0,0,train
789,3.0,0.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,5.0,5.0,3.0,2.0,2.0,0.0,1.0,item_0,0,train
609,1.0,5.0,4.0,3.0,3.0,4.0,0.0,1.0,4.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,0.0,item_0,0,train
506,2.0,8.0,5.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,3.0,2.0,4.0,1.0,3.0,2.0,1.0,item_0,0,train
847,4.0,0.0,2.0,7.0,2.0,2.0,1.0,1.0,4.0,3.0,4.0,4.0,6.0,1.0,2.0,4.0,4.0,1.0,3.0,0.0,0.0,5.0,3.0,1.0,0.0,item_0,0,train
777,2.0,3.0,2.0,5.0,1.0,3.0,4.0,3.0,3.0,4.0,2.0,0.0,2.0,0.0,0.0,1.0,5.0,4.0,3.0,1.0,1.0,2.0,5.0,1.0,0.0,item_0,0,train
626,3.0,1.0,2.0,4.0,1.0,2.0,1.0,3.0,7.0,1.0,3.0,2.0,4.0,4.0,2.0,5.0,6.0,1.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,item_0,0,train
480,2.0,4.0,0.0,0.0,1.0,0.0,4.0,6.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,1.0,3.0,0.0,6.0,1.0,item_0,0,train
120,3.0,0.0,7.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0,6.0,2.0,0.0,4.0,3.0,item_0,0,train
90,0.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,4.0,4.0,5.0,1.0,4.0,3.0,5.0,1.0,1.0,6.0,0.0,1.0,4.0,2.0,0.0,0.0,item_0,0,train
828,2.0,6.0,3.0,3.0,1.0,1.0,2.0,2.0,6.0,1.0,4.0,1.0,1.0,2.0,1.0,6.0,2.0,2.0,1.0,4.0,3.0,0.0,3.0,0.0,0.0,item_0,0,train
601,2.0,1.0,5.0,2.0,3.0,1.0,2.0,2.0,3.0,0.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,item_0,0,train
45,2.0,2.0,5.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,0.0,2.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,3.0,0.0,item_0,0,train
380,1.0,1.0,3.0,0.0,1.0,3.0,2.0,5.0,1.0,3.0,2.0,0.0,0.0,2.0,4.0,5.0,2.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,item_0,0,train
709,1.0,2.0,5.0,2.0,4.0,4.0,0.0,3.0,2.0,3.0,4.0,0.0,2.0,1.0,0.0,1.0,7.0,2.0,2.0,3.0,2.0,1.0,5.0,4.0,3.0,item_0,0,train
587,1.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0,3.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,item_0,0,train
